"""IFN-a""","""IFN-y""","""IL-1b""","""IL-6""","""MCP-1""","""TNF-a""","""IL-8""","""IL-10""","""IL-12p70""","""IL-18""","""IL-23"""
5.566349,2.259765,29.35897,456.9616,174.5184,9.711968,1061.016,1,3.463919,5.56258,1
5.629718,1,26.29979,454.5484,155.5957,7.431021,1020.615,1,2.808559,5.087506,1
4.894823,2.84419,25.18388,93.61027,162.2317,11.40983,2211.628,1,3.202399,6.3873,1
5.40487,12.83247,219.3342,7015.126,482.0109,19.42611,5209.384,2.497338,2.600672,12.59238,1
5.197535,1,218.8418,6684.985,480.416,17.74549,4754.371,1.420274,3.096227,7.72402,1
5.628475,19.12177,248.9062,12278.27,2614.015,51.33011,10354.66,13.90691,3.490493,38.48193,1
5.804968,17.90267,33.04889,6967.79,1824.917,10.2172,9350.872,1,2.992139,13.89638,1
5.213671,7.228311,27.07435,1329.745,225.4374,14.09197,818.1191,1,3.729766,66.71145,16.57946
4.497246,8.495131,96.96084,651.7463,307.4583,8.227667,2445.414,1,4.571675,87.11361,4.754187
5.134241,8.495131,60.40637,24523.48,2031.968,24.06423,10030.61,3.664957,3.386255,31.87271,1
4.975437,1,11.29879,99.96841,23.44049,7.859594,259.6923,1,1.453188,62.2906,104.6179
4.910944,4.110559,83.85308,2249.844,210.0863,17.44119,2423.108,1,2.678098,5.583222,1
3.370265,18.53659,597.0999,221.6948,116.2575,28.24598,7322.189,1,2.965613,187.8754,73.17652
5.038702,22.87731,1003.528,203.8193,24.45477,35.73067,6610.456,1,3.096227,53.06581,1
6.044977,15.36732,1278.074,181.2972,26.06358,40.03386,6838.73,1,2.808559,55.35724,1
4.448699,16.00111,2813.424,578.6712,68.53401,35.89134,9441.772,1,2.967654,104.7831,1
5.659542,12.24757,232.8347,247.9676,26.9674,40.41216,4009.032,1,2.941131,594.6201,1
5.724169,5.961627,206.6392,209.7316,25.35805,34.82125,3416.896,1,2.731089,133.7531,1
6.521683,12.24757,1276.577,8626.732,1171.374,96.63548,13571.19,29.19513,3.071732,650.3631,1
5.737841,56.82354,215.2737,3895.208,299.9069,18.81363,7797.483,1,2.941131,127.2279,1
5.547713,15.36732,1089.357,34.49098,32.42163,9.959482,7029.425,1,2.234299,48.92429,1
5.069717,4.695079,275.6236,789.9688,128.8853,14.22168,8164.608,1,2.75759,20.47564,1
5.563864,11.02912,2300.089,731.5712,78.66202,28.56164,8352.648,1,2.651608,151.48,1
5.468211,53.05826,700.8774,319.049,47.92722,97.33106,5956.136,1,2.653646,45.8071,1
11.56652,4.743788,108.9523,461.7288,191.4259,46.33725,4578.495,1,2.888094,16.4386,1
3.370265,18.53659,597.0999,221.6948,116.2575,28.24598,7322.189,1,2.965613,187.8754,73.17652